SampleID,SampleID2,Station,Size1,Size2,Size,Group,Health_Status,Distance,long,la,Salinity,pH,Conductance,DO,T,PO3,N02,NH4,SiO3,NO3
Sample1,Bacteria_BE708-09M0001,ZS1B3,3,0,0,NearDJ,Poor,0,114.410772,16.089184,33.67,8.03,56098,4.73,29.7,0.011,8.00E-04,0,0.052052,0.014
Sample2,Bacteria_BE708-09M0002,ZS1B0,0,0,0,NearDJ,Poor,0,114.410772,16.089184,33.67,8.03,56098,4.73,29.7,0.011,8.00E-04,0,0.052052,0.014
Sample3,Bacteria_BE708-09M0005,ZS5B3,3,0,0,NearDJ,Poor,0,114.790179,16.216582,33.48,8.04,55817,4.6,30.2,0.0236,9.00E-04,0.0164,0.063568,0.021
Sample4,Bacteria_BE708-09M0006,ZS5B0,0,0,0,NearDJ,Poor,0,114.790179,16.216582,33.48,8.04,55817,4.6,30.2,0.0236,9.00E-04,0.0164,0.063568,0.021
Sample5,Bacteria_BE708-09M0009,ZS6B3,3,0,0,NearDJ,Poor,0,114.282417,16.062678,33.69,8.08,56473,4.65,30.1,0.0167,3.00E-04,0,0.059354,0.017
Sample6,Bacteria_BE708-09M0010,ZS6B0,0,0,0,NearDJ,Poor,0,114.282417,16.062678,33.69,8.08,56473,4.65,30.1,0.0167,3.00E-04,0,0.059354,0.017
Sample7,Bacteria_BE708-09M0013,ZSXB3,3,0,0,NearDJ,Poor,0,114.127307,15.847771,33.67,8.05,56747,4.74,30.4,0.0135,0.0018,0.0119,0.052828,0.021
Sample8,Bacteria_BE708-09M0014,ZSXB0,0,0,0,NearDJ,Poor,0,114.127307,15.847771,33.67,8.05,56747,4.74,30.4,0.0135,0.0018,0.0119,0.052828,0.021
Sample9,Bacteria_BE708-09M0017,ZS7B3,3,0,0,NearDJ,Poor,0,113.852153,15.49222,33.63,8.07,56548,4.79,33.63,0.002,0.0017,0.0096,0.042244,0.032
Sample10,Bacteria_BE708-09M0018,ZS7B0,0,0,0,NearDJ,Poor,0,113.852153,15.49222,33.63,8.07,56548,4.79,33.63,0.002,0.0017,0.0096,0.042244,0.032
Sample11,Bacteria_BE708-09M0021,YS1B3,3,0,0,NearDJ,Moderate,0,113.015028,9.667981,33.39,8.06,56490,4.68,30.5,0.018,0.0012,0,0.045256,0.017
Sample12,Bacteria_BE708-09M0022,YS1B0,0,0,0,NearDJ,Moderate,0,113.015028,9.667981,33.39,8.06,56490,4.68,30.5,0.018,0.0012,0,0.045256,0.017
Sample13,Bacteria_BE708-09M0025,Y1B3,3,0,0,OffDJ,Moderate,1.18,112.915039,9.572523,33.36,8.04,56161,4.4,30.2,0.015,5.00E-04,0.0045,0.057764,0.022
Sample14,Bacteria_BE708-09M0026,Y1B0,0,0,0,OffDJ,Moderate,1.18,112.915039,9.572523,33.36,8.04,56161,4.4,30.2,0.015,5.00E-04,0.0045,0.057764,0.022
Sample15,Bacteria_BE708-09M0029,Y2B3,3,0,0,NearDJ,Moderate,0.317,112.88738,9.55856,33.35,8.05,56015,4.59,30.1,0.0045,0.001,0.0185,0.040379,0.011
Sample16,Bacteria_BE708-09M0030,Y2B0,0,0,0,NearDJ,Moderate,0.317,112.88738,9.55856,33.35,8.05,56015,4.59,30.1,0.0045,0.001,0.0185,0.040379,0.011
Sample17,Bacteria_BE708-09M0033,Y3B3,3,0,0,NearDJ,Poor,0.39,112.87379,9.54242,33.37,8.04,55877,4.79,29.9,0.0054,0.002,4.00E-04,0.055905,0.021
Sample18,Bacteria_BE708-09M0034,Y3B0,0,0,0,NearDJ,Poor,0.39,112.87379,9.54242,33.37,8.04,55877,4.79,29.9,0.0054,0.002,4.00E-04,0.055905,0.021
Sample19,Bacteria_BE708-09M0037,Y6B3,3,0,0,NearDJ,Moderate,0.41,112.8862,9.53826,33.32,8.09,55741,4.68,29.9,0.0083,0.0011,0.0326,0.046376,0.015
Sample20,Bacteria_BE708-09M0038,Y6B0,0,0,0,NearDJ,Moderate,0.41,112.8862,9.53826,33.32,8.09,55741,4.68,29.9,0.0083,0.0011,0.0326,0.046376,0.015
Sample21,Bacteria_BE708-09M0041,Y7B3,3,0,0,NearDJ,Good,0.147,112.89419,9.54397,33.39,8.07,55660,4.74,29.7,5.00E-04,7.00E-04,0.0134,0.025231,0.007
Sample22,Bacteria_BE708-09M0042,Y7B0,0,0,0,NearDJ,Good,0.147,112.89419,9.54397,33.39,8.07,55660,4.74,29.7,5.00E-04,7.00E-04,0.0134,0.025231,0.007
Sample23,Bacteria_BE708-09M0045,YS2B3,3,0,0,NearDJ,Moderate,0,112.98023,9.66016,33.4,8.06,56079,4.9,30.1,0.0123,0.0011,0.0031,0.056319,0.018
Sample24,Bacteria_BE708-09M0046,YS2B0,0,0,0,NearDJ,Moderate,0,112.98023,9.66016,33.4,8.06,56079,4.9,30.1,0.0123,0.0011,0.0031,0.056319,0.018
Sample25,Bacteria_BE708-09M0049,YSB3,3,0,0,OffDJ,Moderate,2.28,113.0578,9.68914,33.42,8.05,55943,4.89,29.9,0.0061,0.002,0.096,0.042874,0.027
Sample26,Bacteria_BE708-09M0050,YSB0,0,0,0,OffDJ,Moderate,2.28,113.0578,9.68914,33.42,8.05,55943,4.89,29.9,0.0061,0.002,0.096,0.042874,0.027
Sample27,Bacteria_BE708-09M0053,XM1B3,3,0,0,OffDJ,Moderate,0.644,114.48236,9.90025,33.41,8.02,55088,4.87,29.1,0.0079,4.00E-04,0,0.049764,0.014
Sample28,Bacteria_BE708-09M0054,XM1B0,0,0,0,OffDJ,Moderate,0.644,114.48236,9.90025,33.41,8.02,55088,4.87,29.1,0.0079,4.00E-04,0,0.049764,0.014
Sample29,Bacteria_BE708-09M0057,ZX1B3,3,0,0,NearDJ,Poor,0,114.46913,9.83714,33.44,8.04,55390,4.92,29.4,0.023,0.0026,0.0411,0.046108,0
Sample30,Bacteria_BE708-09M0058,ZX1B0,0,0,0,NearDJ,Poor,0,114.46913,9.83714,33.44,8.04,55390,4.92,29.4,0.023,0.0026,0.0411,0.046108,0
Sample31,Bacteria_BE708-09M0061,BS1B3,3,0,0,NearDJ,Poor,0,114.51561,9.87534,33.47,8.03,55316,4.96,29.3,0.0162,5.00E-04,0,0.050492,0.016
Sample32,Bacteria_BE708-09M0062,BS1B0,0,0,0,NearDJ,Poor,0,114.51561,9.87534,33.47,8.03,55316,4.96,29.3,0.0162,5.00E-04,0,0.050492,0.016
Sample33,Bacteria_BE708-09M0065,DM1B3,3,0,0,NearDJ,Poor,0,114.50963,9.91386,33.47,8.03,55190,4.96,29.1,0.0035,6.00E-04,0,0.045158,0.017
Sample34,Bacteria_BE708-09M0066,DM1B0,0,0,0,NearDJ,Poor,0,114.50963,9.91386,33.47,8.03,55190,4.96,29.1,0.0035,6.00E-04,0,0.045158,0.017
Sample35,Bacteria_BE708-09M0069,AL1B3,3,0,0,NearDJ,Good,0,114.5322,9.93897,33.34,8.06,55251,4.77,29.4,0.0072,0.0025,0.0922,0.038996,0.03
Sample36,Bacteria_BE708-09M0070,AL1B0,0,0,0,NearDJ,Good,0,114.5322,9.93897,33.34,8.06,55251,4.77,29.4,0.0072,0.0025,0.0922,0.038996,0.03
Sample37,Bacteria_BE708-09M0073,CX1B3,3,0,0,OffDJ,Good,0.588,114.58078,9.96187,33.39,7.99,55198,4.9,29.2,0.0235,0.0034,0.0332,0.060018,0.033
Sample38,Bacteria_BE708-09M0074,CX1B0,0,0,0,OffDJ,Good,0.588,114.58078,9.96187,33.39,7.99,55198,4.9,29.2,0.0235,0.0034,0.0332,0.060018,0.033
Sample39,Bacteria_BE708-09M0077,NE1B3,3,0,0,OffDJ,Good,1.53,114.64635,9.96571,33.3,8.04,55011,4.95,29.2,0.0076,9.00E-04,0.0135,0.053407,0.018
Sample40,Bacteria_BE708-09M0078,NE1B0,0,0,0,OffDJ,Good,1.53,114.64635,9.96571,33.3,8.04,55011,4.95,29.2,0.0076,9.00E-04,0.0135,0.053407,0.018
Sample41,Bacteria_BE708-09M0081,NE2B3,3,0,0,NearDJ,Good,0,114.64254,10.00485,33.25,8.02,55330,4.18,29.6,0.0103,0.0021,0.0638,0.054261,0.041
Sample42,Bacteria_BE708-09M0082,NE2B0,0,0,0,NearDJ,Good,0,114.64254,10.00485,33.25,8.02,55330,4.18,29.6,0.0103,0.0021,0.0638,0.054261,0.041
Sample43,Bacteria_BE708-09M0085,GC1B3,3,0,0,NearDJ,Moderate,0.2,114.29182,9.73184,33.33,8.02,55162,4.86,29.3,0.0061,0.0018,0.0166,0.053528,0.029
Sample44,Bacteria_BE708-09M0086,GC1B0,0,0,0,NearDJ,Moderate,0.2,114.29182,9.73184,33.33,8.02,55162,4.86,29.3,0.0061,0.0018,0.0166,0.053528,0.029
Sample45,Bacteria_BE708-09M0089,DMDB3,3,0,0,NearDJ,Poor,0,114.51438,9.87501,33.37,8.02,55196,5.04,29.3,0.0102,0.0023,0.0644,0.052721,0.035
Sample46,Bacteria_BE708-09M0090,DMDB0,0,0,0,NearDJ,Poor,0,114.51438,9.87501,33.37,8.02,55196,5.04,29.3,0.0102,0.0023,0.0644,0.052721,0.035
Sample47,Bacteria_BE708-09M0091,AD1B3,3,0,0,NearDJ,Poor,0,114.71333,10.34142,33.41,8.03,55240,4.91,29.3,0.003,0.0012,0.0101,0.049829,0.02
Sample48,Bacteria_BE708-09M0092,AD1B0,0,0,0,NearDJ,Poor,0,114.71333,10.34142,33.41,8.03,55240,4.91,29.3,0.003,0.0012,0.0101,0.049829,0.02
Sample49,Bacteria_BE708-09M0095,MZ1B3,3,0,0,NearDJ,Poor,0,114.8068,11.15502,33.38,8.02,55771,4.27,29.8,5.00E-04,0.0015,0,0.046581,0.015
Sample50,Bacteria_BE708-09M0096,MZ1B0,0,0,0,NearDJ,Poor,0,114.8068,11.15502,33.38,8.02,55771,4.27,29.8,5.00E-04,0.0015,0,0.046581,0.015
Sample51,Bacteria_BE708-09M0097,LH1B3,3,0,0,NearDJ,Poor,0,112.57855,16.08828,33.47,7.98,56099,4.42,30,0.0079,0.0018,0.0176,0.054832,0.029
Sample52,Bacteria_BE708-09M0098,LH1B0,0,0,0,NearDJ,Poor,0,112.57855,16.08828,33.47,7.98,56099,4.42,30,0.0079,0.0018,0.0176,0.054832,0.029
Sample53,Bacteria_BE708-09M0101,YZ1B3,3,0,0,NearDJ,Poor,0,112.07438,16.36044,33.41,8.02,56571,4.35,30.6,0.0012,0.0012,0.0053,0.036725,0.018
Sample54,Bacteria_BE708-09M0102,YZ1B0,0,0,0,NearDJ,Poor,0,112.07438,16.36044,33.41,8.02,56571,4.35,30.6,0.0012,0.0012,0.0053,0.036725,0.018
Sample55,Bacteria_BE708-09M0105,QFB3,3,0,0,NearDJ,Moderate,0,111.72207,16.59573,33.51,8.01,55538,5.21,29.4,0.0121,0.004,0.1451,0.048247,0.048
Sample56,Bacteria_BE708-09M0106,QFB0,0,0,0,NearDJ,Moderate,0,111.72207,16.59573,33.51,8.01,55538,5.21,29.4,0.0121,0.004,0.1451,0.048247,0.048
Sample57,Bacteria_BE708-09M0109,QF2B3,3,0,0,OffDJ,Poor,0.687,111.65914,16.57472,33.38,8,56827,4.49,30.8,0.0217,0.0052,0.006,0.004161,14.511
Sample58,Bacteria_BE708-09M0110,QF2B0,0,0,0,OffDJ,Poor,0.687,111.65914,16.57472,33.38,8,56827,4.49,30.8,0.0217,0.0052,0.006,0.004161,14.511
Sample59,Bacteria_BE708-09M0113,ZS13B3,3,0,0,NearDJ,Poor,0,114.48817,16.08668,33.58,8.06,55961,6.61,29.17,0.0056,0.0026,0.0239,0.037467,0.018
Sample60,Bacteria_BE708-09M0114,ZS13B0,0,0,0,NearDJ,Poor,0,114.48817,16.08668,33.58,8.06,55961,6.61,29.17,0.0056,0.0026,0.0239,0.037467,0.018
Sample61,Bacteria_BE708-09M0115,ZZY13,3,0,0,OffDJ,Ocean,211.92,113.51102,13.38837,33.47,8.07,56638,3.65,30.5,9.00E-04,0.0014,0.0016,0.052301,0.022
Sample62,Bacteria_BE708-09M0116,ZZY10,0,0,0,OffDJ,Ocean,211.92,113.51102,13.38837,33.47,8.07,56638,3.65,30.5,9.00E-04,0.0014,0.0016,0.052301,0.022
Sample63,Bacteria_BE708-09M0117,ZZY23,3,0,0,OffDJ,Ocean,43.58,113.06106,10.06047,33.28,8.1,56258,3.56,30.5,0.0011,0.0021,0.0162,0.040541,0.026
Sample64,Bacteria_BE708-09M0118,ZZY20,0,0,0,OffDJ,Ocean,43.58,113.06106,10.06047,33.28,8.1,56258,3.56,30.5,0.0011,0.0021,0.0162,0.040541,0.026
Sample65,Bacteria_BE708-09M0119,Y24B3,3,0,0,OffDJ,Poor,0.717,112.88787,9.55563,33.18,8.13,55810,4.9,30,0.0166,0.0075,0.0169,0.063168,0.018
Sample66,Bacteria_BE708-09M0120,Y24B0,0,0,0,OffDJ,Poor,0.717,112.88787,9.55563,33.18,8.13,55810,4.9,30,0.0166,0.0075,0.0169,0.063168,0.018
Sample67,Bacteria_BE708-09M0121,YSS3,3,0,0,NearDJ,Moderate,0,113.01952,9.66173,33.29,8.02,57560,4.5,31.7,0.0057,0.0014,0.0494,0.039813,0.024
Sample68,Bacteria_BE708-09M0122,YSS0,0,0,0,NearDJ,Moderate,0,113.01952,9.66173,33.29,8.02,57560,4.5,31.7,0.0057,0.0014,0.0494,0.039813,0.024
Sample69,Bacteria_BE708-09M0123,XM4B3,3,0,0,NearDJ,Poor,0,114.47263,9.90677,33.37,8.05,54595,4.45,28.7,0.0021,0.0012,0.0205,0.031072,0.023
Sample70,Bacteria_BE708-09M0124,XM4B0,0,0,0,NearDJ,Poor,0,114.47263,9.90677,33.37,8.05,54595,4.45,28.7,0.0021,0.0012,0.0205,0.031072,0.023
Sample71,Bacteria_BE708-09M0125,XMS3,3,0,0,OffDJ,Poor,1.02,114.45944,9.9075,33.38,8,55865,4.03,29.9,0,6.00E-04,0.0027,0.027216,0.011
Sample72,Bacteria_BE708-09M0126,XMS0,0,0,0,OffDJ,Poor,1.02,114.45944,9.9075,33.38,8,55865,4.03,29.9,0,6.00E-04,0.0027,0.027216,0.011
Sample73,Bacteria_BE708-09M0127,ZX2B3,3,0,0,OffDJ,Poor,0.751,114.46626,9.82549,33.33,8.03,54799,3.65,29,0,5.00E-04,0,0.034756,0.013
Sample74,Bacteria_BE708-09M0128,ZX2B0,0,0,0,OffDJ,Poor,0.751,114.46626,9.82549,33.33,8.03,54799,3.65,29,0,5.00E-04,0,0.034756,0.013
Sample75,Bacteria_BE708-09M0129,BS1S3,3,0,0,NearDJ,Poor,0,114.51479,9.87248,33.47,8.07,54502,3.9,28.4,0.0124,5.00E-04,0,0.053791,0.016
Sample76,Bacteria_BE708-09M0130,BS1S0,0,0,0,NearDJ,Poor,0,114.51479,9.87248,33.47,8.07,54502,3.9,28.4,0.0124,5.00E-04,0,0.053791,0.016
Sample77,Bacteria_BE708-09M0131,BS23,3,0,0,NearDJ,Poor,0.438,114.50723,9.87321,33.38,8.01,54926,4.02,29,0.019,0,0,0.062482,0.018
Sample78,Bacteria_BE708-09M0132,BS20,0,0,0,NearDJ,Poor,0.438,114.50723,9.87321,33.38,8.01,54926,4.02,29,0.019,0,0,0.062482,0.018
Sample79,Bacteria_BE708-09M0133,DM1I3,3,0,0,NearDJ,Poor,0,114.5047,9.92221,33.34,8.05,54123,3.68,28.3,0.016,7.00E-04,0.0017,0.050529,0.017
Sample80,Bacteria_BE708-09M0134,DM1I0,0,0,0,NearDJ,Poor,0,114.5047,9.92221,33.34,8.05,54123,3.68,28.3,0.016,7.00E-04,0.0017,0.050529,0.017
Sample81,Bacteria_BE708-09M0135,DM23,3,0,0,NearDJ,Poor,0.35,114.50723,9.87321,32.98,8.04,54302,3.27,29,6.00E-04,4.00E-04,0,0.050305,0.012
Sample82,Bacteria_BE708-09M0136,DM20,0,0,0,NearDJ,Poor,0.35,114.50723,9.87321,32.98,8.04,54302,3.27,29,6.00E-04,4.00E-04,0,0.050305,0.012
Sample83,Bacteria_BE708-09M0137,AL1S3,3,0,0,NearDJ,Good,0,114.52917,9.93724,32.4,8.01,52275,3.87,27.8,0.0085,0.0024,0.0306,0.058131,0.043
Sample84,Bacteria_BE708-09M0138,AL1S0,0,0,0,NearDJ,Good,0,114.52917,9.93724,32.4,8.01,52275,3.87,27.8,0.0085,0.0024,0.0306,0.058131,0.043
Sample85,Bacteria_BE708-09M0139,AL1X3,3,0,0,NearDJ,Good,0,114.52334,9.93453,33.32,7.96,55313,4.6,29.4,0.0193,0.0018,0.0333,0.066646,0.025
Sample86,Bacteria_BE708-09M0140,AL1X0,0,0,0,NearDJ,Good,0,114.52334,9.93453,33.33,7.96,55313,4.7,30.4,0.0193,0.0018,0.0333,0.066646,0.025
Sample87,Bacteria_BE708-09M0141,CX1W3,3,0,0,NearDJ,Good,0,114.56582,9.96908,29.1,7.99,54176,4.26,29.1,0.0289,0.0027,0.1514,0.05339,0.052
Sample88,Bacteria_BE708-09M0142,CX1W0,0,0,0,NearDJ,Good,0,114.56582,9.96908,29.1,7.99,54176,4.26,29.1,0.0289,0.0027,0.1514,0.05339,0.052
Sample89,Bacteria_BE708-09M0143,ZQ3,3,0,0,NearDJ,Good,0.322,114.58704,9.981,33.29,8.01,52790,4.01,27,0.0164,0.001,0.0016,0.059461,0.017
Sample90,Bacteria_BE708-09M0144,ZQ0,0,0,0,NearDJ,Good,0.322,114.58704,9.981,33.29,8.01,52790,4.01,27,0.0164,0.001,0.0016,0.059461,0.017
Sample91,Bacteria_BE708-09M0145,NE1S3,3,0,0,NearDJ,Good,0.242,114.66082,9.96652,33.24,8,54036,4.01,28.3,0.0035,0.0022,0.0613,0.039015,0.04
Sample92,Bacteria_BE708-09M0146,NE1S0,0,0,0,NearDJ,Good,0.242,114.66082,9.96652,33.24,8,54036,4.01,28.3,0.0035,0.0022,0.0613,0.039015,0.04
Sample93,Bacteria_BE708-09M0147,NE2J3,3,0,0,NearDJ,Good,0,114.6379,10.00123,33.33,8.05,54795,3.08,28.9,0.0086,0.0027,0.0535,0.051355,0.036
Sample94,Bacteria_BE708-09M0148,NE2J0,0,0,0,NearDJ,Good,0,114.6379,10.00123,33.33,8.05,54795,3.08,28.9,0.0086,0.0027,0.0535,0.051355,0.036
Sample95,Bacteria_BE708-09M0149,CG23,3,0,0,NearDJ,Moderate,0,114.27273,9.7157,33.26,8.03,55674,4.48,29.8,0.0095,7.00E-04,0.0342,0.051593,0.017
Sample96,Bacteria_BE708-09M0150,CG20,0,0,0,NearDJ,Moderate,0,114.27273,9.7157,33.26,8.03,55674,4.48,29.8,0.0095,7.00E-04,0.0342,0.051593,0.017
Sample97,Bacteria_BE708-09M0151,AD1J3,3,0,0,NearDJ,Poor,0,114.70675,10.34493,33.32,8.04,55081,4.85,29.2,0.0078,0.0033,0.0947,0.051758,0.06
Sample98,Bacteria_BE708-09M0152,AD1J0,0,0,0,NearDJ,Poor,0,114.70675,10.34493,33.32,8.04,55081,4.85,29.2,0.0078,0.0033,0.0947,0.051758,0.06
Sample99,Bacteria_BE708-09M0153,MZ1J3,3,0,0,NearDJ,Poor,0,114.79731,11.15816,33.4,8.05,54731,4.36,28.8,0.002,0.0018,0.0231,0.03439,0.013
Sample100,Bacteria_BE708-09M0154,MZ1J0,0,0,0,NearDJ,Poor,0,114.79731,11.15816,33.4,8.05,54731,4.36,28.8,0.002,0.0018,0.0231,0.03439,0.013
Sample101,Bacteria_BE708-09M0155,ZMX3,3,0,0,OffDJ,Ocean,164.6,114.02838,13.24663,33.32,7.98,55998,4.76,30.1,4.00E-04,9.00E-04,0.0136,0.05159,0.021
Sample102,Bacteria_BE708-09M0156,ZMX0,0,0,0,OffDJ,Ocean,164.6,114.02838,13.24663,33.32,7.98,55998,4.76,30.1,4.00E-04,9.00E-04,0.0136,0.05159,0.021
Sample103,Bacteria_BE708-09M0157,LH1J3,3,0,0,NearDJ,Poor,0,112.53296,16.06726,33.52,7.99,56346,3.86,30.2,0.0049,0.0024,0.0072,0.053446,0.016
Sample104,Bacteria_BE708-09M0158,LH1J0,0,0,0,NearDJ,Poor,0,112.53296,16.06726,33.52,7.99,56346,3.86,30.2,0.0049,0.0024,0.0072,0.053446,0.016
Sample105,Bacteria_BE708-09M0159,YZ1J3,3,0,0,NearDJ,Poor,0,112.07419,16.3598,33.56,8.04,55432,4.05,29.3,0.0153,0.0012,0,0.053074,0.017
Sample106,Bacteria_BE708-09M0160,YZ1J0,0,0,0,NearDJ,Poor,0,112.07419,16.3598,33.56,8.04,55432,4.05,29.3,0.0153,0.0012,0,0.053074,0.017
Sample107,Bacteria_BE708-09M0161,YYJ3,3,0,0,NearDJ,Poor,0,111.71876,16.59113,33.39,7.92,55039,3.07,29.1,0.0083,0.0029,0.0381,0.045506,0.03
Sample108,Bacteria_BE708-09M0162,YYJ0,0,0,0,NearDJ,Poor,0,111.71876,16.59113,33.39,7.92,55039,3.07,29.1,0.0083,0.0029,0.0381,0.045506,0.03
Sample109,Bacteria_BE708-09M0163,QF13,3,0,0,NearDJ,Moderate,0,111.66215,16.57761,33.4,7.99,56855,3.27,30.9,0.0045,0.001,0,0.054765,0.015
Sample110,Bacteria_BE708-09M0164,QF10,0,0,0,NearDJ,Moderate,0,111.66215,16.57761,33.4,7.99,56855,3.27,30.9,0.0045,0.001,0,0.054765,0.015
Sample111,Bacteria_BE708-09M0165,ZXZ13,3,0,0,OffDJ,Ocean,92.2,111.34867,18.53827,33.87,8,57082,4.14,30.4,0.0152,0.003,0.0789,0.060225,0.048
Sample112,Bacteria_BE708-09M0166,ZXZ10,0,0,0,OffDJ,Ocean,92.2,111.34867,18.53827,33.87,8,57082,4.14,30.4,0.0152,0.003,0.0789,0.060225,0.048
Sample113,Bacteria_BE708-09M0167,ZXZ23,3,0,0,OffDJ,Ocean,16.91,111.06641,20.10441,33,7.97,54408,3.1,29.1,0.0132,0.0019,0.0042,0.059489,0.024
Sample114,Bacteria_BE708-09M0168,ZXZ20,0,0,0,OffDJ,Ocean,16.91,111.06641,20.10441,33,7.97,54408,3.1,29.1,0.0132,0.0019,0.0042,0.059489,0.024
